Entity,Code,Year,Budget
United States,USA,1959,2320435288.422745
United States,USA,1960,3622571944.365231
United States,USA,1961,6577309549.75471
United States,USA,1962,12326662764.067799
United States,USA,1963,24521545950.14919
United States,USA,1964,33619086227.817825
United States,USA,1965,34020007663.023254
United States,USA,1966,32831229324.17647
United States,USA,1967,30586032658.772655
United States,USA,1968,27302171188.38549
United States,USA,1969,22709367979.323406
United States,USA,1970,20231900967.71281
United States,USA,1971,17019923719.469322
United States,USA,1972,16226362318.09382
United States,USA,1973,16016951127.505522
United States,USA,1974,13330551485.867496
United States,USA,1975,12847750181.485909
United States,USA,1976,13212041458.41361
United States,USA,1977,13445146345.613829
United States,USA,1978,13793091635.43535
United States,USA,1979,14263654474.256062
United States,USA,1980,14799479046.360504
United States,USA,1981,14189559983.832016
United States,USA,1982,14600486118.533133
United States,USA,1983,15941188446.951216
United States,USA,1984,16246933098.423382
United States,USA,1985,15964110571.80761
United States,USA,1986,16097974201.470295
United States,USA,1987,22028358815.314983
United States,USA,1988,17701904047.450397
United States,USA,1989,20413492052.600872
United States,USA,1990,22135699407.053017
United States,USA,1991,24509582073.8191
United States,USA,1992,24426630775.734016
United States,USA,1993,23854358737.158543
United States,USA,1994,23769057845.87355
United States,USA,1995,22130495147.679264
United States,USA,1996,21772696302.782753
United States,USA,1997,21121755951.58051
United States,USA,1998,20768617024.898808
United States,USA,1999,20514049723.94413
United States,USA,2000,20023113217.963535
United States,USA,2001,20499398661.29391
United States,USA,2002,21080477824.164017
United States,USA,2003,21395081125.99095
United States,USA,2004,20877934978.19538
United States,USA,2005,21338934268.908867
United States,USA,2006,21265571315.02021
United States,USA,2007,20236923370.250057
United States,USA,2008,20958210045.107285
United States,USA,2009,22609714037.587257
United States,USA,2010,22346619718.071518
United States,USA,2011,21584155389.20094
United States,USA,2012,20404142692.05258
United States,USA,2013,19033095047.85342
United States,USA,2014,19520325699.25035
United States,USA,2015,19682957069.547146
United States,USA,2016,20883596274.613323
United States,USA,2017,20903931442.55882
United States,USA,2018,21598138373.12535
United States,USA,2019,21937488898.865356
United States,USA,2020,22629000000
United States,USA,2021,23271300000
United States,USA,2022,24801500000
